Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,TAM,Ricky Bell,RB,22,1982,0,0,4,24,24,64,0,0,0,0,0,822,3063,16,97,842,3,,,USC,College Stats,BellRi01
1,2,DAL,Tony Dorsett HOF,RB,23,1988,1,4,11,107,104,173,2,8,41,1,1,2936,12739,77,398,3554,13,,,Pittsburgh,College Stats,DorsTo00
1,3,CIN,Eddie Edwards,DE,23,1988,0,0,11,59,59,170,0,0,0,0,0,0,0,0,0,0,0,1,84.5,Miami (FL),,EdwaEd20
1,4,NYJ,Marvin Powell,T,22,1987,3,5,9,78,76,133,0,0,0,0,0,0,0,0,0,0,0,,,USC,,PoweMa01
1,5,NYG,Gary Jeter,DE,22,1989,0,0,3,35,27,168,0,0,0,0,0,0,0,0,0,0,0,,79.0,USC,College Stats,JeteGa20
1,6,ATL,Warren Bryant,T,21,1984,0,0,7,37,37,104,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,,BryaWa21
1,7,NOR,Joe Campbell,DE,22,1981,0,0,1,12,11,65,0,0,0,0,0,0,0,0,0,0,0,,8.0,Maryland,College Stats,CampJo21
1,8,CIN,Wilson Whitley,DT,22,1982,0,0,6,33,33,82,0,0,0,0,0,0,0,0,0,0,0,1,11.5,Houston,College Stats,WhitWi24
1,9,GNB,Mike Butler,DE,23,1985,0,0,6,38,38,95,0,0,0,0,0,0,0,0,0,0,0,,41.5,Kansas,,ButlMi20
1,10,KAN,Gary Green,DB,21,1985,0,4,9,64,47,132,0,0,0,0,0,0,0,0,0,0,0,33,3.0,Baylor,College Stats,GreeGa01
1,11,HOU,Morris Towns,T,23,1984,0,0,4,30,30,92,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,,TownMo20
1,12,BUF,Phil Dokes,DT,22,1978,0,0,1,5,5,22,0,0,0,0,0,0,0,0,0,0,0,,4.0,Oklahoma St.,,DokePh20
1,13,MIA,A.J. Duhe,LB,21,1984,0,1,7,48,48,108,0,0,0,0,0,0,0,0,0,0,0,3,38.5,LSU,,DuheA.00
1,14,SEA,Steve August,T,23,1984,0,0,6,46,45,102,0,0,0,0,0,0,0,0,1,9,0,,,Tulsa,,AuguSt20
1,15,CHI,Ted Albrecht,T,22,1981,0,0,5,26,26,77,0,0,0,0,0,0,0,0,0,0,0,,,California,,AlbrTe20
1,16,NWE,Raymond Clayborn,DB,22,1991,0,3,13,77,76,208,0,0,0,0,0,0,0,0,0,0,0,36,2.0,Texas,College Stats,ClayRa00
1,17,CLE,Robert Jackson,LB,23,1982,0,0,2,16,16,62,0,0,0,0,0,0,0,0,0,0,0,2,6.0,Texas A&M,College Stats,JackRo22
1,18,DEN,Steve Schindler,G,23,1978,0,0,0,4,4,28,0,0,0,0,0,0,0,0,0,0,0,,,Boston Col.,,SchiSt20
1,19,STL,Steve Pisarkiewicz,QB,23,1980,0,0,0,2,2,10,64,143,804,3,7,16,19,0,0,0,0,,,Missouri,College Stats,PisaSt00
1,20,ATL,Wilson Faumuina,DT,23,1981,0,0,1,17,17,74,0,0,0,0,0,0,0,0,0,0,0,1,13.5,San Jose St.,,FaumWi20
1,21,PIT,Robin Cole,LB,21,1988,0,1,8,62,60,166,0,0,0,0,0,0,0,0,0,0,0,5,29.0,New Mexico,,ColeRo01
1,22,CIN,Mike Cobb,TE,21,1981,0,0,1,1,0,62,0,0,0,0,0,0,0,0,11,134,0,,,Michigan St.,College Stats,CobbMi00
1,23,RAM,Bob Brudzinski,LB,22,1989,0,0,11,60,16,180,0,0,0,0,0,0,0,0,0,0,0,9,22.5,Ohio St.,College Stats,BrudBo20
1,24,SDG,Bob Rush,C,22,1985,0,0,4,32,12,117,0,0,0,0,0,0,0,0,0,0,0,,,Memphis,,RushBo20
1,25,NWE,Stanley Morgan,WR,22,1990,0,4,13,83,82,196,0,0,0,0,0,21,127,0,557,10716,72,,,Tennessee,College Stats,MorgSt00
1,26,BAL,Randy Burke,WR,22,1981,0,0,0,4,4,57,0,0,0,0,0,0,0,0,30,489,3,,,Kentucky,College Stats,BurkRa00
1,27,MIN,Tommy Kramer,QB,22,1990,0,1,7,70,70,129,2012,3651,24777,159,158,214,531,8,1,23,1,,,Rice,College Stats,KramTo00
1,28,GNB,Ezra Johnson,DE,21,1991,0,1,6,48,44,192,0,0,0,0,0,0,0,0,0,0,0,,96.0,Morris Brown,,JohnEz00
2,29,TAM,Dave Lewis,LB,22,1983,0,1,4,40,37,97,0,0,0,0,0,0,0,0,0,0,0,10,9.0,USC,,LewiDa03
2,30,SEA,Tom Lynch,G,22,1984,0,0,3,30,26,105,0,0,0,0,0,0,0,0,0,0,0,,,Boston Col.,,LyncTo20
2,31,RAM,Nolan Cromwell,DB,22,1987,3,4,9,71,71,161,0,1,0,0,0,7,55,3,0,0,0,37,2.0,Kansas,College Stats,CromNo00
2,32,NYG,Johnny Perkins,WR,24,1983,0,0,3,24,24,71,0,0,0,0,0,3,2,0,163,2611,18,,,Abilene Christian,,PerkJo00
2,33,NYJ,Wesley Walker,WR,22,1989,1,2,11,73,73,154,0,0,0,0,0,6,35,0,438,8306,71,,,California,College Stats,WalkWe00
2,34,NOR,Mike Fultz,DT,23,1981,0,0,1,8,8,58,0,0,0,0,0,0,0,0,0,0,0,,9.5,Nebraska,,FultMi20
2,35,OAK,Mike Davis,DB,21,1987,0,0,6,37,36,115,0,0,0,0,0,0,0,0,0,0,0,11,14.0,Colorado,,DaviMi20
2,36,ATL,R.C. Thielemann,G,22,1988,1,3,10,66,53,157,0,0,0,0,0,0,0,0,0,0,0,,,Arkansas,,ThieR.00
2,37,KAN,Tony Reed,RB,22,1981,0,0,4,33,29,71,0,1,0,0,1,581,2340,8,172,1699,2,,,Colorado,College Stats,ReedTo00
2,38,HOU,George Reihner,G,22,1982,0,0,2,13,13,27,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,,ReihGe20
2,39,GNB,Greg Koch,T,22,1987,0,0,10,56,42,159,0,0,0,0,0,0,0,0,0,0,0,,,Arkansas,,KochGr20
2,40,MIA,Bob Baumhower,NT,22,1986,1,5,9,85,85,130,0,0,0,0,0,0,0,0,0,0,0,1,39.5,Alabama,,BaumBo00
2,41,SEA,Terry Beeson,LB,21,1982,0,0,4,21,20,82,0,0,0,0,0,0,0,0,0,0,0,1,4.0,Kansas,College Stats,BeesTe20
2,42,DET,Walt Williams,DB,23,1983,0,0,2,19,15,93,0,0,0,0,0,0,0,0,0,0,0,4,,New Mexico St.,,WillWa22
2,43,CHI,Mike Spivey,DB,23,1982,0,0,0,11,9,77,0,0,0,0,0,0,0,0,0,0,0,1,,Colorado,College Stats,SpivMi20
2,44,NWE,Horace Ivory,RB,23,1982,0,0,1,16,15,58,0,0,0,0,0,351,1425,15,54,471,2,,,Oklahoma,College Stats,IvorHo00
2,45,DEN,Rob Lytle,RB,22,1983,0,0,1,16,16,87,0,0,0,0,0,376,1451,12,61,562,2,,,Michigan,College Stats,LytlRo00
2,46,CLE,Tom Skladany,P,22,1983,0,1,0,12,,61,5,8,81,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats,SklaTo20
2,47,STL,George Franklin,RB,23,1978,0,0,0,0,,15,0,0,0,0,0,1,-8,0,1,19,0,,,Texas A&M-Kingsville,,FranGe00
2,48,PIT,Sidney Thornton,RB,23,1982,0,0,1,15,15,74,0,0,0,0,0,356,1512,18,46,515,6,,,Northwestern St. (LA),,ThorSi00
2,49,CIN,Pete Johnson,RB,23,1984,0,1,7,52,52,110,0,0,0,0,0,1489,5626,76,175,1334,6,,,Ohio St.,College Stats,JohnPe00
2,50,RAM,Billy Waddy,WR,23,1984,0,0,4,19,19,75,0,0,0,0,0,13,77,0,120,1963,10,,,Colorado,College Stats,WaddBi00
2,51,SEA,Pete Cronan,LB,22,1985,0,0,0,7,4,90,0,0,0,0,0,0,0,0,0,0,0,2,2.0,Boston Col.,,CronPe20
2,52,NWE,Don Hasselbeck,TE,22,1985,0,0,2,16,15,123,0,0,0,0,0,0,0,0,107,1542,18,,,Colorado,College Stats,HassDo00
2,53,BAL,Mike Ozdowski,DE,21,1981,0,0,2,10,10,54,0,0,0,0,0,0,0,0,0,0,0,,13.0,Virginia,,OzdoMi20
2,54,DAL,Glenn Carano,QB,21,1983,0,0,0,1,1,36,21,57,304,3,1,12,15,0,0,0,0,,,UNLV,,CaraGl00
2,55,MIN,Dennis Swilley,C,22,1987,0,0,7,51,51,139,0,0,0,0,0,0,0,0,0,0,0,,,Texas A&M,College Stats,SwilDe20
2,57,OAK,Ted McKnight,RB,23,1982,0,0,3,21,,68,0,0,0,0,0,528,2344,22,99,717,1,,,Minnesota-Duluth,,McKnTe00
3,56,TAM,Charley Hannah,G,22,1988,0,0,9,46,24,148,0,1,0,0,0,0,0,0,0,0,0,,4.5,Alabama,,HannCh20
3,58,SEA,Dennis Boyd,DT,21,1982,0,0,1,14,14,59,0,0,0,0,0,0,0,0,1,3,1,,5.0,Oregon St.,,BoydDe20
3,59,BUF,Curtis Brown,RB,22,1983,0,0,4,21,21,78,0,0,0,0,0,567,2171,9,102,772,5,,,Missouri,College Stats,BrowCu00
3,60,PIT,Tom Beasley,DE,23,1986,0,0,3,27,25,105,0,0,0,0,0,0,0,0,0,0,0,,19.5,Virginia Tech,,BeasTo20
3,61,CHI,Robin Earl,TE,22,1982,0,0,2,7,7,84,0,0,0,0,0,94,382,1,47,486,4,,,Washington,College Stats,EarlRo00
3,62,DAL,Tony Hill,WR,21,1986,0,3,9,68,68,141,1,2,42,0,0,14,84,0,479,7988,51,,,Stanford,College Stats,HillTo00
3,63,ATL,Edgar Fields,DT,23,1981,0,0,1,13,13,62,0,0,0,0,0,0,0,0,0,0,0,,6.5,Texas A&M,,FielEd20
3,64,NOR,Robert Watts,LB,23,1978,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,Boston Col.,,WattRo20
3,65,SFO,Elmo Boyd,WR,23,1978,0,0,0,1,1,11,0,0,0,0,0,0,0,0,9,115,1,,,Eastern Kentucky,,BoydEl00
3,66,HOU,Tim Wilson,FB,23,1984,0,0,4,18,18,101,0,0,0,0,0,398,1414,6,99,609,3,,,Maryland,College Stats,WilsTi00
3,67,KAN,Tom Howard,LB,23,1985,0,0,6,43,36,113,0,0,0,0,0,0,0,0,0,0,0,7,17.5,Texas Tech,,HowaTo21
3,68,RAM,Ed Fulton,G,22,1979,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,,,Maryland,,FultEd20
