Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,NYG,Tucker Frederickson,RB,22,1971,0,1,4,32,32,66,0,1,0,0,1,651,2209,9,128,1011,8,,,Auburn,College Stats,FredTu00
1,2,SFO,Ken Willard,RB,22,1974,0,4,9,61,60,132,0,1,0,0,1,1622,6105,45,277,2184,17,,,North Carolina,College Stats,WillKe02
1,3,CHI,Dick Butkus HOF,LB,22,1973,5,8,9,82,82,119,0,0,0,0,0,1,28,0,0,0,0,22,11.0,Illinois,College Stats,ButkDi00
1,4,CHI,Gale Sayers HOF,RB,22,1971,5,4,5,60,60,68,4,18,111,1,2,991,4956,39,112,1307,9,,,Kansas,College Stats,SayeGa00
1,5,DAL,Craig Morton,QB,22,1982,0,0,11,84,35,207,2053,3786,27908,183,187,215,627,12,0,0,0,,,California,College Stats,MortCr00
1,6,CHI,Steve DeLong,DE,22,1972,0,1,6,41,5,103,0,0,0,0,0,0,0,0,0,0,0,1,37.5,Tennessee,College Stats,DeLoSt00
1,7,GNB,Donny Anderson,RB,22,1974,0,1,6,69,48,126,6,13,111,2,0,1197,4696,41,209,2548,14,,,Texas Tech,College Stats,AndeDo00
1,8,MIN,Jack Snow,WR,22,1975,0,1,10,61,,150,0,0,0,0,0,2,3,0,340,6012,45,,,Notre Dame,College Stats,SnowJa00
1,9,RAM,Clancy Williams,DB,22,1972,0,0,6,44,44,97,0,0,0,0,0,3,3,0,0,0,0,28,,Washington St.,College Stats,WillCl20
1,10,GNB,Larry Elkins,WR,22,1967,0,0,1,4,,18,0,0,0,0,0,2,19,0,24,315,3,,,Baylor,College Stats,ElkiLa00
1,11,DET,Tom Nowatzke,FB,22,1972,0,0,1,14,11,96,0,0,0,0,0,361,1249,13,100,605,4,1,,Indiana,College Stats,NowaTo00
1,12,STL,Joe Namath HOF,QB,22,1977,1,5,9,94,,140,1886,3762,27663,173,220,71,140,7,0,0,0,,,Alabama,College Stats,NamaJo00
1,13,SFO,George Donnelly,DB,23,1967,0,0,2,8,8,33,0,0,0,0,0,0,0,0,0,0,0,2,1.0,Illinois,College Stats,DonnGe20
1,14,BAL,Mike Curtis,LB,22,1978,1,4,9,79,72,166,0,0,0,0,0,6,1,0,1,5,0,25,22.5,Duke,College Stats,CurtMi00
2,15,MIN,Archie Sutton,T,23,1967,0,0,0,6,6,19,0,0,0,0,0,0,0,0,0,0,0,,,Illinois,,SuttAr20
2,16,SFO,Joe Cerne,C,23,1968,0,0,0,11,10,45,0,0,0,0,0,0,0,0,0,0,0,,,Northwestern,,CernJo20
2,17,CLE,Jim Garcia,DE,21,1968,0,0,0,6,3,35,0,0,0,0,0,0,0,0,0,0,0,,1.0,Purdue,,GarcJi20
2,18,PIT,Roy Jefferson,WR,21,1976,1,3,10,73,35,162,0,0,0,0,0,25,188,0,451,7539,52,,,Utah,College Stats,JeffRo00
2,19,DAL,Malcolm Walker,C,22,1970,0,0,2,22,20,58,0,0,0,0,0,0,0,0,0,0,0,,,Rice,,WalkMa20
2,20,PHI,Ray Rissmiller,T,23,1968,0,0,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,,,Georgia,College Stats,RissRa20
2,21,WAS,Bob Breitenstein,T,22,1970,0,0,1,15,,58,0,0,0,0,0,0,0,0,0,0,0,,,Tulsa,,BreiBo20
2,22,CLE,Gerry Bussell,DB,22,1965,0,0,0,2,,6,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,College Stats,BussGe20
2,23,MIN,Lance Rentzel,WR,21,1974,0,0,6,56,1,115,1,1,58,1,0,26,196,2,268,4826,38,,,Oklahoma,College Stats,RentLa00
2,24,GNB,Al Dotson,DT,22,1970,0,0,0,8,,47,0,0,0,0,0,0,0,0,0,0,0,,9.5,Grambling St.,,DotsAl20
2,25,DET,Jerry Rush,DT,23,1971,0,0,5,40,40,89,0,0,0,0,0,0,0,0,0,0,0,,26.0,Michigan St.,,RushJe20
2,26,STL,Dave Simmons,LB,22,1968,0,0,1,12,6,44,0,0,0,0,0,0,0,0,0,0,0,2,,Georgia Tech,,SimmDa20
2,27,CLE,Walter Johnson,DT,22,1977,0,3,11,63,62,182,0,0,0,0,0,0,0,0,0,0,0,2,68.0,Los Angeles St.,,JohnWa00
2,28,BAL,Ralph Neely,T,21,1977,3,2,12,86,,172,0,0,0,0,0,1,10,0,0,0,0,,,Oklahoma,College Stats,NeelRa00
3,29,SFO,Bob Schweickert,QB,22,1967,0,0,0,0,,6,0,0,0,0,0,1,1,0,0,0,0,,,Virginia Tech,College Stats,SchwBo00
3,30,SFO,Jim Norton,DE,22,1970,0,0,3,17,7,64,0,0,0,0,0,0,0,0,0,0,0,1,11.5,Washington,,NortJi21
3,31,NYG,Chuck Mercein,RB,22,1970,0,0,1,6,3,58,0,0,0,0,0,163,531,4,37,205,1,,,Yale,College Stats,MercCh00
3,32,CLE,Bo Scott,RB,22,1974,0,0,3,28,28,73,0,0,0,0,0,554,2124,18,112,826,6,,,Ohio St.,,ScotBo01
3,33,NYG,Bob Timberlake,K,21,1965,0,0,0,-1,-1,12,0,0,0,0,0,0,0,0,0,0,0,,,Michigan,College Stats,TimbBo20
3,34,WAS,Kent McCloughan,DB,25,1970,2,2,5,43,,67,0,0,0,0,0,0,0,0,0,0,0,15,,Nebraska,College Stats,McClKe00
3,35,PHI,Al Nelson,DB,21,1973,0,0,8,34,34,105,0,0,0,0,0,0,0,0,0,0,0,13,,Cincinnati,College Stats,NelsAl20
3,36,BAL,Glenn Ressler,G,22,1974,0,0,8,47,47,125,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,College Stats,RessGl20
3,37,RAM,Fred Brown,LB,22,1969,0,0,0,8,3,40,0,0,0,0,0,0,0,0,1,20,0,2,,Miami (FL),College Stats,BrowFr21
3,38,GNB,Allen Brown,TE,22,1967,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,43,0,,,Mississippi,College Stats,BrowAl00
3,39,DET,Fred Biletnikoff HOF,WR,22,1978,2,6,12,88,,190,0,0,0,0,0,0,0,0,589,8974,76,,,Florida St.,College Stats,BileFr00
3,40,STL,Ray Ogden,TE,23,1971,0,0,2,8,0,70,0,0,0,0,0,1,12,0,53,885,4,,,Alabama,College Stats,OgdeRa00
3,41,CLE,Bobby Maples,C,22,1978,0,1,9,56,,184,0,0,0,0,0,0,0,0,0,0,0,1,3.0,Baylor,College Stats,MaplBo00
3,42,SFO,Jack Chapple,LB,22,1965,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,,1.0,Stanford,,ChapJa20
4,43,NYG,Henry Carr,DB,22,1967,0,0,3,12,12,37,0,0,0,0,0,0,0,0,0,0,0,7,2.0,Arizona St.,,CarrHe20
4,44,SFO,Larry Todd,RB,22,1970,0,0,1,10,,57,0,1,0,0,0,138,625,5,51,522,2,,,Arizona St.,College Stats,ToddLa00
4,45,CHI,Jim Nance,RB,22,1973,2,2,7,47,,101,0,0,0,0,0,1341,5401,45,133,870,1,,,Syracuse,College Stats,NancJi00
4,46,DET,Tom Myers,QB,22,1966,0,0,0,0,0,2,3,6,16,0,2,0,0,0,0,0,0,,,Northwestern,College Stats,MyerTo00
4,47,DAL,Jimmy Sidle,RB,22,1966,0,0,0,0,,6,0,0,0,0,0,1,12,0,1,16,0,,,Auburn,College Stats,SidlJi00
4,48,PHI,Fred Hill,TE,22,1971,0,0,2,11,11,83,0,0,0,0,0,1,5,0,85,1005,5,,,USC,College Stats,HillFr00
4,49,BAL,Marty Schottenheimer,LB,21,1970,0,1,0,19,,79,0,0,0,0,0,0,0,0,0,0,0,6,3.0,Pittsburgh,,SchoMa01
4,50,RAM,Mike Strofolino,LB,21,1968,0,0,0,10,3,35,0,0,0,0,0,0,0,0,0,0,0,,4.0,Villanova,,StroMi20
4,51,MIN,Jim Whalen,TE,22,1971,1,0,6,29,,89,0,0,0,0,0,1,0,0,197,3155,20,,,Boston Col.,College Stats,WhalJi00
4,52,GNB,Wally Mahle,B,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,College Stats,-9999
4,53,DAL,Bob Svihus,T,22,1973,0,0,7,42,,122,0,0,0,0,0,0,0,0,0,0,0,,,USC,,SvihBo20
4,54,STL,Johnny Roland,RB,22,1973,0,2,6,40,38,103,5,13,130,1,2,1015,3750,28,153,1430,6,,,Missouri,College Stats,RolaJo00
4,55,MIN,Jim Harris,DT,22,1967,0,0,3,18,,42,0,0,0,0,0,0,0,0,0,0,0,,7.0,Utah St.,,HarrJi21
4,56,BAL,Dave Johnson,E,,,0,0,0,,,,,,,,,,,,,,,,,San Jose St.,College Stats,-9999
5,57,DET,Tom Vaughn,DB,22,1971,0,0,4,30,30,88,0,0,0,0,0,0,0,0,0,0,0,9,5.5,Iowa St.,College Stats,VaugTo20
5,58,SFO,Dave McCormick,T,22,1967,0,0,0,4,3,16,0,0,0,0,0,0,0,0,0,0,0,,,LSU,,McCoDa20
5,59,GNB,Jim Harvey,G,22,1971,0,0,4,28,,78,0,0,0,0,0,0,0,0,0,0,0,,,Mississippi,,HarvJi20
5,60,RAM,Frank Marchlewski,C,21,1970,0,0,3,19,7,74,0,0,0,0,0,0,0,0,0,1,0,,,Minnesota,,MarcFr20
5,61,DAL,Roger Pettee,LB,,,0,0,0,,,,,,,,,,,,,,,,,Florida,,-9999
5,62,NYG,Frank Lambert,P,22,1966,0,0,0,6,,28,0,0,0,0,0,0,0,0,0,0,0,,,Mississippi,,LambFr20
5,63,PHI,John Henderson,WR,22,1972,0,0,2,22,,93,0,0,0,0,0,0,0,0,108,1735,10,,,Michigan,College Stats,HendJo00
5,64,DET,Ed Flanagan,C,21,1976,0,4,12,64,59,165,0,0,0,0,0,0,5,0,0,0,0,,,Purdue,,FlanEd00
5,65,RAM,Doug Woodlief,LB,22,1969,0,0,2,23,23,69,0,0,0,0,0,0,0,0,0,0,0,6,,Memphis,,WoodDo20
5,66,GNB,Doug Goodwin,RB,23,1968,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,MD-Eastern Shore,,GoodDo22
5,67,DET,John Flynn,E,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,,-9999
5,68,STL,Bob Bonds,HB,,,0,0,0,,,,,,,,,,,,,,,,,San Jose St.,College Stats,-9999
5,69,CLE,Bill Irwin,T,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi,College Stats,-9999
5,70,BAL,John McGuire,E,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,,-9999
6,71,BAL,Bobby Felts,HB,23,1967,0,0,0,2,0,38,0,1,0,0,0,66,207,2,5,29,0,,,Florida A&M,,FeltBo00
6,72,CLE,Arnie Simkus,DE,22,1967,0,0,0,2,,12,0,0,0,0,0,0,0,0,0,0,0,,,Michigan,,SimkAr20
6,73,CHI,Tony Carey,HB,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,College Stats,-9999
6,74,GNB,Dick Koeper,T,22,1966,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,Oregon St.,,KoepDi20
6,75,DAL,Sonny Utz,FB,,,0,0,0,,,,,,,,,,,,,,,,,Virginia Tech,College Stats,-9999
6,76,PHI,John Huarte,QB,22,1972,0,0,0,1,0,24,19,48,230,1,5,12,52,0,0,0,0,,,Notre Dame,College Stats,HuarJo00
