Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,MIN,Tommy Mason,RB,22,1971,1,3,5,50,39,124,3,9,95,2,2,1040,4203,32,214,2324,13,,,Tulane,College Stats,MasoTo00
1,2,WAS,Norm Snead,QB,22,1976,0,4,12,87,21,178,2276,4353,30797,196,257,212,521,23,0,0,0,,,Wake Forest,College Stats,SneaNo00
1,3,WAS,Joe Rutgens,DT,22,1969,0,2,7,44,44,110,0,0,0,0,0,0,0,0,0,0,0,,40.0,Illinois,,RutgJo00
1,4,RAM,Marlin McKeever,LB,21,1973,0,1,9,48,38,162,0,0,0,0,0,0,0,0,133,1737,6,9,9.0,USC,College Stats,McKeMa00
1,5,CHI,Mike Ditka HOF,TE,21,1972,2,5,7,56,47,158,0,0,0,0,0,2,2,0,427,5812,43,,,Pittsburgh,College Stats,DitkMi00
1,6,SFO,Jimmy Johnson HOF,DB,23,1976,3,5,16,103,103,213,0,0,0,0,0,0,0,0,40,690,4,47,,UCLA,College Stats,JohnJi01
1,7,BAL,Tom Matte,RB,22,1972,0,2,5,68,68,142,12,42,246,2,2,1200,4646,45,249,2869,12,,,Ohio St.,College Stats,MattTo00
1,8,STL,Ken Rice,T,21,1967,0,1,4,26,,79,0,0,0,0,0,0,0,0,0,0,0,,,Auburn,College Stats,RiceKe00
1,9,SFO,Bernie Casey,HB,22,1968,0,1,6,53,37,105,0,0,0,0,0,1,23,0,359,5444,40,,,Bowling Green,,CaseBe00
1,10,CLE,Bobby Crespino,SE,23,1968,0,0,2,8,1,107,0,0,0,0,0,0,0,0,58,741,9,,,Mississippi,College Stats,CresBo00
1,11,SFO,Billy Kilmer,QB,22,1978,0,1,11,75,9,170,1585,2984,20495,152,146,362,1509,21,27,288,1,,,UCLA,College Stats,KilmBi00
1,12,GNB,Herb Adderley HOF,DB,22,1972,5,5,11,106,95,164,0,0,0,0,0,0,0,0,0,0,0,48,1.0,Michigan St.,College Stats,AddeHe00
1,13,DAL,Bob Lilly HOF,DT,22,1974,7,11,14,112,112,196,0,0,0,0,0,0,0,0,0,0,0,1,95.5,TCU,College Stats,LillBo00
1,14,PHI,Art Baker,FB,23,1962,0,0,1,5,,17,0,0,0,0,0,154,507,3,9,85,0,,,Syracuse,College Stats,BakeAr00
2,15,MIN,Rip Hawkins,LB,22,1965,0,1,5,31,31,70,0,0,0,0,0,0,0,0,0,0,0,12,6.0,North Carolina,,HawkRi00
2,16,DAL,E.J. Holub,LB,23,1970,2,5,8,71,,127,0,0,0,0,0,0,0,0,0,0,0,9,17.0,Texas Tech,,HoluE.00
2,17,NYG,Bob Gaiters,HB,23,1963,0,0,1,8,5,31,3,5,42,2,0,168,673,6,17,175,2,,,New Mexico St.,College Stats,GaitBo00
2,18,RAM,Elbert Kimbrough,DB,23,1968,0,0,5,28,1,85,0,0,0,0,0,0,0,0,0,0,0,9,2.0,Northwestern,College Stats,KimbEl20
2,19,PIT,Myron Pottios,LB,22,1973,0,3,7,62,27,129,0,0,0,0,0,0,0,0,0,0,0,12,10.0,Notre Dame,,PottMy00
2,20,CHI,Bill Brown,RB,23,1974,0,4,8,72,0,194,1,2,3,0,0,1649,5838,52,286,3183,23,,,Illinois,College Stats,BrowBi00
2,21,BAL,Tom Gilburg,T,22,1965,0,0,0,9,9,69,0,0,0,0,0,0,0,0,0,0,0,,,Syracuse,College Stats,GilbTo21
2,22,STL,Fred Arbanas,TE,22,1970,3,5,9,33,,118,0,0,0,0,0,4,15,0,198,3101,34,,,Michigan St.,College Stats,ArbaFr00
2,23,DET,Dan LaRose,T,22,1966,0,0,4,25,16,65,0,0,0,0,0,0,0,0,0,0,0,,7.5,Missouri,College Stats,LaRoDa20
2,24,SFO,Roland Lakes,DT,21,1971,0,0,10,50,47,154,0,0,0,0,0,0,0,0,0,0,0,,46.5,Wichita St.,,LakeRo20
2,25,NYG,Bruce Tarbox,G,22,1961,0,0,0,3,,7,0,0,0,0,0,0,0,0,0,0,0,,,Syracuse,,TarbBr20
2,26,GNB,Ron Kostelnik,DT,21,1969,0,0,5,43,41,120,0,0,0,0,0,0,0,0,0,0,0,,17.0,Cincinnati,,KostRo20
2,27,CLE,Ed Nutting,T,22,1963,0,0,1,5,1,18,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,,NuttEd20
2,28,PHI,Bo Strange,C,,,0,0,0,,,,,,,,,,,,,,,,,LSU,,-9999
3,29,MIN,Fran Tarkenton HOF,QB,21,1978,1,9,18,148,88,246,3686,6467,47003,342,266,675,3674,32,0,-12,0,,,Georgia,College Stats,TarkFr00
3,30,DAL,Stew Barber,T,22,1969,2,5,9,54,,125,0,0,0,0,0,0,0,0,0,0,0,3,2.0,Penn St.,College Stats,BarbSt00
3,31,STL,Billy Wilson,T,,,0,0,0,,,,,,,,,,,,,,,,,Auburn,,-9999
3,32,RAM,Harold Beaty,G,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma St.,,-9999
3,33,CHI,Claude Gibson,DB,22,1965,0,0,2,19,,70,0,0,0,0,0,0,0,0,0,0,0,22,,North Carolina St.,College Stats,GibsCl20
3,34,DET,Dick Mills,G,22,1962,0,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,,MillDi20
3,35,BAL,Jerry Hill,RB,21,1970,0,0,5,34,34,102,0,0,0,0,0,706,2668,22,117,970,3,,,Wyoming,College Stats,HillJe00
3,36,PHI,Jim Wright,DB,22,1964,0,0,0,2,,10,0,0,0,0,0,0,0,0,0,0,0,1,,Memphis,,WrigJi21
3,37,SFO,Bill Cooper,FB,22,1964,0,0,0,0,0,38,0,0,0,0,0,10,15,1,0,0,0,,1.0,Muskingum,,CoopBi00
