Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,RAM,Terry Baker,QB,22,1965,0,0,0,6,6,18,12,21,154,0,4,58,210,1,30,302,2,,,Oregon St.,College Stats,BakeTe00
1,2,STL,Jerry Stovall,DB,22,1971,0,3,8,47,47,97,0,0,0,0,0,2,49,0,0,0,0,18,0.5,LSU,College Stats,StovJe00
1,3,MIN,Jim Dunaway,DT,22,1972,1,4,9,62,,132,0,0,0,0,0,0,0,0,0,0,0,1,23.5,Mississippi,College Stats,DunaJi00
1,4,PHI,Ed Budde,G,22,1976,2,7,12,85,,177,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,,BuddEd00
1,5,BAL,Bob Vogel,T,21,1972,0,5,10,78,78,140,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats,VogeBo00
1,6,DAL,Lee Roy Jordan,LB,22,1976,0,5,13,88,88,187,0,0,0,0,0,0,0,0,0,0,0,32,19.5,Alabama,College Stats,JordLe00
1,7,WAS,Pat Richter,TE,21,1970,0,0,3,22,22,103,0,0,0,0,0,1,-9,0,99,1315,14,,,Wisconsin,College Stats,RichPa00
1,8,SFO,Kermit Alexander Jr.,DB,22,1973,0,1,9,60,44,143,0,0,0,0,0,0,0,0,0,0,0,43,,UCLA,College Stats,AlexKe01
1,9,CLE,Tom Hutchinson,TE,22,1966,0,0,0,5,5,47,0,0,0,0,0,0,0,0,19,409,2,,,Kentucky,College Stats,HutcTo00
1,10,RAM,Rufus Guthrie,G,,,0,0,0,,,,,,,,,,,,,,,,,Georgia Tech,,-9999
1,11,CHI,Dave Behrman,C,21,1967,0,1,2,10,,39,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,,BehrDa00
1,12,DET,Daryl Sanders,T,22,1966,0,0,4,22,22,56,0,0,0,0,0,1,2,0,0,0,0,,,Ohio St.,,SandDa20
