Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,BUF,Tom Cousineau,LB,22,1987,0,0,4,38,,66,0,0,0,0,0,0,0,0,0,0,0,10,6.5,Ohio St.,College Stats,CousTo20
1,2,KAN,Mike Bell,DE,22,1991,0,0,7,45,45,135,0,0,0,0,0,0,0,0,0,0,0,,52.0,Colorado St.,College Stats,BellMi20
1,3,CIN,Jack Thompson,QB,23,1984,0,0,1,13,6,51,449,845,5315,33,45,70,262,6,0,0,0,,,Washington St.,College Stats,ThomJa00
1,4,CHI,Dan Hampton HOF,DE,21,1990,1,4,11,102,102,157,0,0,0,0,0,0,0,0,0,0,0,,82.0,Arkansas,,HampDa01
1,5,BUF,Jerry Butler,WR,21,1986,0,1,6,35,35,88,0,0,0,0,0,4,32,0,278,4301,29,,,Clemson,College Stats,ButlJe00
1,6,BAL,Barry Krauss,LB,22,1989,0,0,8,48,44,152,0,0,0,0,0,1,-1,0,1,5,1,6,10.0,Alabama,,KrauBa21
1,7,NYG,Phil Simms,QB,23,1993,0,2,11,91,91,164,2576,4647,33462,199,157,349,1252,6,2,7,0,,,Morehead St.,,SimmPh00
1,8,STL,Ottis Anderson,RB,22,1992,1,2,9,80,67,182,0,1,0,0,0,2562,10273,81,376,3062,5,,,Miami (FL),College Stats,AndeOt00
1,9,CHI,Al Harris,DE,22,1990,0,0,6,49,39,149,0,0,0,0,0,0,0,0,1,18,0,4,23.5,Arizona St.,College Stats,HarrAl20
1,10,DET,Keith Dorney,T,21,1987,0,1,8,47,47,112,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,College Stats,DornKe00
1,11,NOR,Russell Erxleben,P,22,1987,0,0,0,8,8,59,2,5,63,1,1,4,1,0,0,0,0,,,Texas,College Stats,erxlerus01
1,12,CIN,Charles Alexander,RB,22,1985,0,0,5,26,26,102,0,0,0,0,0,748,2645,13,165,1130,2,,,LSU,College Stats,AlexCh00
1,13,SDG,Kellen Winslow HOF,TE,21,1987,3,5,7,63,63,109,0,3,0,0,0,0,0,0,541,6741,45,,,Missouri,College Stats,WinsKe00
1,14,NYJ,Marty Lyons,DE,22,1989,0,0,10,49,49,147,0,0,0,0,0,0,0,0,0,0,0,,43.0,Alabama,College Stats,LyonMa20
1,15,GNB,Eddie Lee Ivery,RB,22,1986,0,0,4,34,34,72,2,4,50,0,0,667,2933,23,162,1612,7,,,Georgia Tech,College Stats,IverEd00
1,16,MIN,Ted Brown,RB,22,1986,0,0,7,50,50,104,0,1,0,0,1,1117,4546,40,339,2850,13,,,North Carolina St.,College Stats,BrowTe00
1,17,ATL,Don Smith,NT,22,1987,0,0,6,36,34,111,0,0,0,0,0,0,0,0,0,0,0,,40.5,Miami (FL),,SmitDo22
1,18,SEA,Manu Tuiasosopo,DT,22,1986,0,0,5,38,26,119,0,0,0,0,0,0,0,0,0,0,0,1,27.0,UCLA,,TuiaMa20
1,19,RAM,George Andrews,LB,23,1984,0,0,4,29,29,80,0,0,0,0,0,0,0,0,1,2,0,1,12.5,Nebraska,College Stats,AndrGe20
