Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
1,1,RAM,Billy Cannon,TE,23,1970,2,2,8,53,,133,2,12,46,1,1,602,2455,17,236,3656,47,,,LSU,College Stats,CannBi00
1,2,STL,George Izo,QB,22,1966,0,0,0,5,1,26,132,317,1791,12,32,10,-23,0,0,0,0,,,Notre Dame,College Stats,IzoxGe00
1,3,DET,Johnny Robinson HOF,DB,21,1971,6,7,12,94,,164,0,1,0,0,1,150,658,6,77,1228,9,57,,LSU,College Stats,RobiJo00
1,4,WAS,Richie Lucas,QB,22,1961,0,0,1,4,,22,43,99,596,4,7,48,153,2,11,127,1,2,,Penn St.,College Stats,LucaRi00
1,5,GNB,Tom Moore,HB,22,1967,0,1,3,33,26,102,13,19,383,5,1,660,2445,21,141,1152,10,,,Vanderbilt,College Stats,MoorTo00
1,6,PIT,Jack Spikes,FB,23,1967,0,0,1,20,,86,0,2,0,0,1,408,1693,18,56,679,3,,,TCU,College Stats,SpikJa00
1,7,CHI,Roger Davis,G,22,1966,0,0,3,25,19,72,0,0,0,0,0,0,0,0,0,0,0,,1.5,Syracuse,College Stats,DaviRo22
1,8,CLE,Jim Houston,LB,22,1972,0,4,10,67,67,177,0,0,0,0,0,0,0,0,1,10,1,14,29.5,Ohio St.,College Stats,HousJi00
1,9,PHI,Ron Burton,HB,24,1965,0,0,4,24,,69,0,1,0,0,1,429,1536,9,111,1205,8,,,Northwestern,College Stats,BurtRo00
1,10,BAL,Ron Mix HOF,T,22,1971,9,8,9,87,,142,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats,MixxRo00
1,11,SFO,Monty Stickles,TE,22,1968,0,0,9,30,29,115,0,0,0,0,0,0,0,0,222,3199,16,,,Notre Dame,College Stats,SticMo00
1,12,NYG,Lou Cordileone,DT,23,1968,0,0,1,18,3,75,0,0,0,0,0,0,0,0,0,0,0,1,9.0,Clemson,,CordLo20
2,13,STL,Harold Olson,T,22,1964,1,1,3,29,,70,0,0,0,0,0,0,0,0,0,0,0,,,Clemson,,OlsoHa00
2,14,STL,Mike McGee,G,21,1962,0,0,3,18,18,37,0,0,0,0,0,0,0,0,0,0,0,,,Duke,College Stats,McGeMi20
2,15,DET,Warren Rabb,QB,22,1962,0,0,1,6,0,30,101,251,1782,15,16,50,124,3,0,0,0,,,LSU,College Stats,RabbWa00
2,16,SFO,Mike Magac,G,22,1966,0,0,3,22,16,78,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,,MagaMi20
2,17,GNB,Bob Jeter,DB,23,1973,1,2,5,54,49,139,0,0,0,0,0,0,0,0,2,25,0,26,,Iowa,College Stats,JeteBo00
2,18,CLE,Larry Stephens,DE,21,1967,0,0,1,28,6,103,0,0,0,0,0,0,0,0,0,0,0,1,16.0,Texas,College Stats,StepLa20
2,19,CLE,Prentice Gautt,HB,22,1967,0,0,3,25,2,88,6,13,100,1,1,629,2466,11,79,901,6,,,Oklahoma,College Stats,GautPr00
2,20,PHI,Maxie Baughan,LB,22,1974,1,9,11,88,39,147,0,0,0,0,0,0,0,0,0,0,0,18,24.5,Georgia Tech,College Stats,BaugMa00
2,21,WAS,Sam Horner,HB,22,1962,0,0,2,9,9,33,0,0,0,0,0,118,355,0,17,219,1,,,VMI,College Stats,HornSa00
2,22,SFO,Carl Kammerer,DE,23,1969,0,0,4,31,5,123,0,0,0,0,0,0,0,0,0,0,0,3,43.5,Pacific,,KammCa20
2,23,BAL,Don Floyd,DE,22,1967,1,2,6,49,,97,0,0,0,0,0,0,0,0,0,0,0,4,20.5,TCU,College Stats,FloyDo00
2,24,BAL,Marvin Terrell,G,22,1963,0,1,2,16,,38,0,0,0,0,0,0,0,0,0,0,0,,,Mississippi,,TerrMa00
3,25,RAM,Charley Britt,DB,22,1964,0,0,2,19,16,49,0,0,0,0,0,0,0,0,0,0,0,14,,Georgia,College Stats,BritCh20
3,26,STL,Hugh McInnis,TE,21,1964,0,0,1,5,5,38,0,0,0,0,0,4,30,0,22,392,0,,,Southern Miss,,McInHu00
3,27,DET,Bob Scholtz,C,22,1966,0,0,3,27,20,81,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,,SchoBo21
3,28,WAS,Andy Stynchula,DE,21,1968,0,0,6,36,23,104,0,0,0,0,0,0,0,0,0,0,0,,33.5,Penn St.,,StynAn20
3,29,STL,Charley Ellzey,C,22,1961,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,Southern Miss,,EllzCh20
3,30,RAM,Pervis Atkins,FL,24,1966,0,0,2,7,6,78,0,0,0,0,0,74,201,1,64,675,2,,,New Mexico St.,College Stats,AtkiPe00
3,31,PHI,Curt Merz,G,22,1968,0,0,5,28,,92,0,0,0,0,0,0,0,0,0,0,0,,,Iowa,College Stats,MerzCu20
3,32,CHI,Don Meredith,QB,22,1968,0,3,7,72,,104,1170,2308,17199,135,111,242,1216,15,0,0,0,,,SMU,College Stats,MereDo00
3,33,CLE,Ross Fichtner,DB,21,1968,0,0,5,41,40,106,0,0,0,0,0,0,0,0,0,0,0,27,,Purdue,College Stats,FichRo20
3,34,BAL,Jim Welch,DB,22,1968,0,0,3,34,32,114,0,0,0,0,0,11,103,1,0,0,0,5,2.0,SMU,College Stats,WelcJi20
3,35,SFO,Rod Breedlove,LB,22,1967,0,1,4,32,,101,0,0,0,0,0,0,0,0,0,0,0,11,15.0,Maryland,College Stats,BreeRo00
3,36,NYG,Jim Leo,DE,23,1962,0,0,1,11,2,40,0,0,0,0,0,0,0,0,0,0,0,,4.0,Cincinnati,College Stats,LeoxJi20
4,37,STL,Willie West,DB,22,1968,0,2,5,45,5,106,0,0,0,0,0,7,45,0,0,0,0,30,1.0,Oregon,College Stats,WestWi00
4,38,STL,Silas Woods,E,,,0,0,0,,,,,,,,,,,,,,,,,Marquette,College Stats,-9999
4,39,DET,Jim Andreotti,C,,,0,0,0,,,,,,,,,,,,,,,,,Northwestern,,-9999
4,40,PHI,Ted Dean,FB,22,1964,0,1,1,17,16,44,0,0,0,0,0,263,923,2,51,684,4,,,Wichita St.,College Stats,DeanTe00
4,41,CLE,Johnny Brewer,TE,23,1970,0,1,8,40,32,135,0,0,0,0,0,0,0,0,89,1256,6,3,8.0,Mississippi,College Stats,BrewJo00
4,42,DET,Roger Brown,DT,23,1969,2,6,9,82,65,138,0,0,0,0,0,0,0,0,0,0,0,2,79.0,MD-Eastern Shore,,BrowRo03
4,43,CHI,Billy Martin,HB,22,1964,0,0,0,0,0,32,0,0,0,0,0,9,28,1,2,17,0,,,Minnesota,,MartBi01
4,44,CLE,Jim Marshall,DE,22,1979,0,2,20,102,1,282,0,0,0,0,0,0,0,0,0,0,0,1,129.5,Ohio St.,,MarsJi00
4,45,PHI,Jack Cummings,QB,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,College Stats,-9999
4,46,SFO,Ray Norton,HB,22,1961,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,,,San Jose St.,,NortRa00
4,47,BAL,Gerhard Schwedes,HB,22,1961,0,0,0,0,,10,0,0,0,0,0,10,14,0,1,21,0,,,Syracuse,College Stats,SchwGe00
4,48,WAS,Vince Promuto,G,22,1970,0,2,8,47,47,130,0,0,0,0,0,0,0,0,0,0,0,,,Holy Cross,,PromVi00
5,49,RAM,Chuck Janerette,DT,21,1965,0,0,3,18,2,80,0,0,0,0,0,0,0,0,0,0,0,2,9.5,Penn St.,,JaneCh20
5,50,STL,Bill Burrell,LB,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,College Stats,-9999
5,51,GNB,Dale Hackbart,DB,22,1973,0,0,5,45,2,152,0,0,0,0,0,0,0,0,0,0,0,19,6.5,Wisconsin,College Stats,HackDa20
5,52,WAS,Don Stallings,DT,21,1960,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,,StalDo20
5,53,CLE,Bob Jarus,FB,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,College Stats,-9999
5,54,STL,George Phelps,B,,,0,0,0,,,,,,,,,,,,,,,,,Cornell Col.,,-9999
5,55,PIT,Abner Haynes,HB,22,1967,2,3,6,70,,112,1,7,24,0,2,1036,4630,46,287,3535,20,,,North Texas,College Stats,HaynAb00
5,56,PHI,Don Norton,E,22,1966,0,2,4,37,,91,1,1,15,0,0,2,-3,0,228,3486,27,,,Iowa,College Stats,NortDo00
5,57,CHI,Dick Norman,QB,21,1961,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,College Stats,NormDi20
5,58,BAL,Marv Lasater,B,,,0,0,0,,,,,,,,,,,,,,,,,TCU,College Stats,-9999
5,59,SFO,Len Rohde,T,22,1974,0,1,12,65,65,208,0,0,0,0,0,0,0,0,0,0,0,,,Utah St.,,RohdLe00
5,60,STL,Ed Mazurek,T,,,0,0,0,,,,,,,,,,,,,,,,,,,-9999
6,61,STL,Jacky Lee,QB,21,1969,0,0,1,17,,100,430,838,6191,46,57,72,218,3,1,-1,0,,,Cincinnati,,LeexJa00
6,62,RAM,Jerry Stalcup,LB,21,1962,0,0,2,10,2,34,0,0,0,0,0,0,0,0,0,0,0,1,3.0,Wisconsin,,StalJe20
6,63,DET,Gail Cogdill,SE,23,1970,0,3,8,53,48,127,0,0,0,0,0,2,-2,0,356,5696,34,,,Washington St.,College Stats,CogdGa00
6,64,WAS,Dave Hudson,E,,,0,0,0,,,,,,,,,,,,,,,,,Florida,College Stats,-9999
6,65,GNB,Mike Wright,T,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,,-9999
6,66,RAM,Don Ellersick,DB,22,1960,0,0,1,4,4,12,0,0,0,0,0,0,0,0,0,0,0,2,,Washington St.,College Stats,ElleDo20
6,67,PHI,Emmett Wilson,T,,,0,0,0,,,,,,,,,,,,,,,,,Georgia Tech,,-9999
6,68,CHI,Ed Kovac,HB,22,1962,0,0,0,0,,16,0,0,0,0,0,7,6,0,3,30,0,1,,Cincinnati,College Stats,KovaEd00
6,69,CLE,Bob Khayat,G,22,1963,0,1,0,9,,40,0,0,0,0,0,0,0,0,0,0,0,,,Mississippi,,KhayBo20
6,70,SFO,Lee Murchison,WR,22,1961,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,,,Pacific,,MurcLe20
6,71,BAL,Al Bansavage,LB,22,1961,0,0,0,3,,17,0,0,0,0,0,0,0,0,0,0,0,,,USC,,BansAl20
6,72,NYG,George Blair,DB,22,1964,0,1,2,23,,46,0,0,0,0,0,0,0,0,0,0,0,5,,Mississippi,College Stats,BlaiGe00
7,73,RAM,Ron Morrison,DT,21,1960,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,,,New Mexico,,MorrRo21
7,74,STL,Larry Wilson HOF,DB,22,1972,5,8,13,91,91,169,0,2,0,0,0,5,36,1,0,0,0,52,21.0,Utah,,WilsLa00
7,75,DET,Jim Norton,DB,21,1968,0,3,6,66,,125,0,0,0,0,0,3,28,0,1,5,0,45,1.0,Idaho,College Stats,NortJi00
7,76,PIT,Leonard Wilson,B,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,College Stats,-9999
7,77,GNB,Kirk Phares,G,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,,-9999
7,78,PIT,Lonnie Dennis,G,,,0,0,0,,,,,,,,,,,,,,,,,BYU,,-9999
7,79,CHI,Charlie Bivins,HB,21,1967,0,0,0,6,6,102,0,0,0,0,0,153,498,3,28,262,3,,,Morris Brown,,BiviCh00
7,80,CLE,Taz Anderson,TE,21,1967,0,0,2,12,,62,0,0,0,0,0,15,39,1,87,1335,9,,,Georgia Tech,College Stats,AndeTa00
7,81,PHI,John Wilkins,T,,,0,0,0,,,,,,,,,,,,,,,,,USC,,-9999
7,82,BAL,Jerry Beabout,T,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,,-9999
7,83,SFO,Bob Waters,QB,22,1963,0,0,0,5,5,30,59,124,707,3,8,65,281,3,0,0,0,,,Presbyterian,,WateBo00
7,84,NYG,Bob Yates,T,21,1965,0,0,2,18,,68,0,0,0,0,0,0,0,0,0,0,0,,,Syracuse,,YateBo20
8,85,STL,Wayne Crow,HB,22,1963,0,0,1,15,,47,8,14,181,0,1,235,1085,3,30,254,1,4,,California,College Stats,CrowWa00
8,86,RAM,Carroll Dale,WR,22,1973,0,3,13,70,16,189,0,0,0,0,0,4,30,0,438,8277,52,,,Virginia Tech,College Stats,DaleCa00
8,87,WAS,Earl Kohlhaas,G,,,0,0,0,,,,,,,,,,,,,,,,,Penn St.,,-9999
8,88,SFO,Bill Mathis,FB,21,1969,1,2,7,42,,137,0,0,0,0,0,1044,3589,37,149,1775,9,,,Clemson,College Stats,MathBi00
8,89,GNB,Don Hitt,C,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma St.,,-9999
8,90,PIT,Dan Lanphear,DE,22,1962,0,0,0,5,,16,0,0,0,0,0,0,0,0,0,0,0,,2.0,Wisconsin,College Stats,LanpDa20
8,91,CLE,Bob White,FB,22,1960,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats,WhitBo22
8,92,PHI,Monte Lee,LB,22,1965,0,0,0,10,,39,0,0,0,0,0,0,0,0,0,0,0,1,,Texas,College Stats,LeexMo20
8,93,CHI,Pete Manning,DB,23,1961,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,,,Wake Forest,College Stats,MannPe20
8,94,SFO,Max Fugler,C,,,0,0,0,,,,,,,,,,,,,,,,,LSU,,-9999
8,95,BAL,Jim Colvin,DT,22,1967,0,0,6,41,18,103,0,0,0,0,0,0,0,0,0,0,0,,28.5,Houston,,ColvJi20
8,96,NYG,Fred Hageman,C,23,1964,0,0,3,22,,55,0,0,0,0,0,0,0,0,0,0,0,,3.0,Kansas,,HageFr20
9,97,RAM,Marv Luster,E,,,0,0,0,,,,,,,,,,,,,,,,,UCLA,College Stats,-9999
9,98,STL,Dewitt Hoopes,T,,,0,0,0,,,,,,,,,,,,,,,,,Northwestern,,-9999
9,99,DET,Max Messner,LB,21,1965,0,0,2,18,11,70,0,0,0,0,0,0,0,0,0,0,0,2,6.0,Cincinnati,,MessMa21
9,100,WAS,Dwight Bumgarner,E,,,0,0,0,,,,,,,,,,,,,,,,,Duke,College Stats,-9999
9,101,GNB,Frank Brixius,T,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,,-9999
9,102,PIT,Marshall Harris,G,,,0,0,0,,,,,,,,,,,,,,,,,TCU,College Stats,-9999
9,103,BAL,Bob Hall,T,,,0,0,0,,,,,,,,,,,,,,,,,Army,,-9999
9,104,CHI,Ken Kirk,LB,22,1963,0,0,0,11,7,44,0,0,0,0,0,0,0,0,0,0,0,,1.0,Mississippi,College Stats,KirkKe20
9,105,CLE,Chris Burford,SE,22,1967,1,1,8,58,,103,0,0,0,0,0,3,10,0,391,5505,55,,,Stanford,College Stats,BurfCh00
9,106,BAL,Don Perkins,FB,22,1968,1,6,8,57,,107,0,0,0,0,0,1500,6217,42,146,1310,3,,,New Mexico,College Stats,PerkDo00
9,107,SFO,Bobby Wasden,E,,,0,0,0,,,,,,,,,,,,,,,,,Auburn,College Stats,-9999
9,108,NYG,Bob Anderson,HB,22,1963,0,0,0,0,0,1,0,0,0,0,0,1,-2,0,0,0,0,,,Army,College Stats,AndeBo01
10,109,STL,Charley Johnson,QB,21,1975,0,1,10,79,47,165,1737,3392,24410,170,181,196,539,10,0,0,0,,,New Mexico St.,College Stats,JohnCh02
10,110,RAM,Curtis McClinton,FB,21,1969,0,3,5,47,,107,1,4,33,1,0,762,3124,18,154,1945,14,,,Kansas,College Stats,McClCu00
10,111,DET,Grady Alderman,T,21,1974,0,6,13,79,0,204,0,0,0,0,0,0,22,0,0,0,0,,,Detroit Mercy,,AldeGr00
10,112,BAL,Ernie Barnes,G,22,1964,0,0,1,15,,43,0,0,0,0,0,0,2,0,0,0,0,,,North Carolina Central,,BarnEr20
10,113,STL,Paul Oglesby,T,21,1960,0,0,1,6,,14,0,0,0,0,0,0,0,0,0,0,0,,,UCLA,,OglePa20
10,114,PIT,John Kapele,DE,22,1962,0,0,0,11,9,38,0,0,0,0,0,0,0,0,0,0,0,,1.0,BYU,,KapeJo20
10,115,PIT,Arvie Martin,C,,,0,0,0,,,,,,,,,,,,,,,,,TCU,,-9999
10,116,CLE,Clyde Washington,DB,22,1965,0,0,5,23,,63,0,0,0,0,0,3,13,0,0,0,0,9,,Purdue,College Stats,WashCl21
10,117,DET,Jim O'Brien,T,,,0,0,0,,,,,,,,,,,,,,,,,Boston Col.,,-9999
10,118,SFO,Mel Branch,DE,23,1968,1,3,8,63,,126,0,0,0,0,0,0,0,0,0,0,0,,57.0,LSU,,BranMe00
10,119,BAL,Bobby Boyd,DB,22,1968,3,2,9,95,95,121,0,1,0,0,0,3,38,0,0,0,0,57,0.5,Oklahoma,College Stats,BoydBo01
10,120,NYG,Bob Simms,LB,22,1962,0,0,0,9,8,31,0,0,0,0,0,0,0,0,1,58,0,,,Rutgers,College Stats,SimmBo21
11,121,RAM,Ken Young,HB,,,0,0,0,,,,,,,,,,,,,,,,,Valparaiso,,-9999
11,122,STL,Bobby Towns,DB,22,1961,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,,,Georgia,College Stats,TownBo20
11,123,DET,Ted Aucreman,E,,,0,0,0,,,,,,,,,,,,,,,,,Indiana,College Stats,-9999
11,124,WAS,Jim Eifrid,LB,21,1961,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,Colorado St.,,EifrJi20
11,125,GNB,Ron Ray,T,,,0,0,0,,,,,,,,,,,,,,,,,Howard Payne,,-9999
11,126,SFO,Ed Pitts,T,,,0,0,0,,,,,,,,,,,,,,,,,South Carolina,,-9999
11,127,CLE,Bobby Franklin,DB,23,1966,0,0,2,26,26,86,0,0,0,0,0,3,-9,1,0,0,0,13,,Mississippi,College Stats,FranBo20
11,128,CHI,Stan Fanning,T,22,1964,0,0,0,11,5,52,0,0,0,0,0,0,0,0,0,0,0,,,Idaho,,FannSt20
11,129,CHI,Glenn Shaw,FB,22,1964,0,0,0,2,0,29,0,0,0,0,0,47,148,3,8,146,1,,,Kentucky,College Stats,ShawGl00
11,130,BAL,Bob Wehking,C,,,0,0,0,,,,,,,,,,,,,,,,,Florida,,-9999
11,131,SFO,Ernie Hansen,C,,,0,0,0,,,,,,,,,,,,,,,,,Northern Arizona,,-9999
11,132,NYG,Dale Rems,T,,,0,0,0,,,,,,,,,,,,,,,,,Purdue,,-9999
12,133,STL,Tom Chapman,E,,,0,0,0,,,,,,,,,,,,,,,,,Detroit Mercy,College Stats,-9999
12,134,RAM,Doug Brown,DT,22,1964,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,,,Fresno St.,,BrowDo24
12,135,DET,Dave Ross,E,22,1960,0,0,0,1,,12,0,0,0,0,0,0,0,0,10,122,1,,,Los Angeles St.,,RossDa01
12,136,WAS,Jim Crotty,DB,22,1962,0,0,0,7,4,22,0,0,0,0,0,0,0,0,0,0,0,3,,Notre Dame,College Stats,CrotJi20
12,137,GNB,Harry Ball,T,,,0,0,0,,,,,,,,,,,,,,,,,Boston Col.,,-9999
12,138,PIT,Earl Butler,T,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,,-9999
12,139,PHI,Dave Grosz,QB,,,0,0,0,,,,,,,,,,,,,,,,,Oregon,College Stats,-9999
12,140,CHI,Tom Budrewicz,G,22,1961,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,Brown,,BudrTo20
12,141,CLE,Rich Mostardi,DB,22,1962,0,0,2,9,4,26,0,0,0,0,0,0,0,0,0,0,0,2,,Kent St.,,MostRi20
12,142,SFO,Jim Williams,G,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina,,-9999
12,143,BAL,Bill Bucek,HB,,,0,0,0,,,,,,,,,,,,,,,,,Rice,College Stats,-9999
12,144,NYG,Pete Hall,E,21,1961,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,22,0,,,Marquette,,HallPe00
13,145,RAM,James Jones,E,,,0,0,0,,,,,,,,,,,,,,,,,SMU,,-9999
13,146,STL,Vic Jones,HB,,,0,0,0,,,,,,,,,,,,,,,,,Indiana,College Stats,-9999
13,147,DET,Pete Tunney,HB,,,0,0,0,,,,,,,,,,,,,,,,,Occidental,,-9999
13,148,WAS,Bill Herron,E,,,0,0,0,,,,,,,,,,,,,,,,,Georgia,College Stats,-9999
13,149,GNB,Paul Winslow,DB,22,1960,0,0,0,3,3,12,0,0,0,0,0,2,-3,0,0,0,0,,,North Carolina Central,,WinsPa20
