Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,NWE,Jim Plunkett,QB,23,1986,0,0,10,85,38,157,1943,3701,25882,164,198,323,1337,14,0,0,0,,,Stanford,College Stats,PlunJi00
1,2,NOR,Archie Manning,QB,22,1984,0,2,11,76,70,151,2011,3642,23911,125,173,384,2197,18,1,-7,0,,,Mississippi,College Stats,MannAr00
1,3,HOU,Dan Pastorini,QB,22,1983,0,1,9,62,63,140,1556,3055,18515,103,161,216,685,8,0,0,0,,,Santa Clara,,PastDa00
1,4,BUF,J.D. Hill,WR,22,1977,0,1,5,36,34,73,0,0,0,0,0,3,14,0,185,2880,21,,,Arizona St.,College Stats,HillJ.00
1,5,PHI,Richard Harris,DE,23,1977,0,0,6,20,10,93,0,0,0,0,0,0,0,0,0,0,0,,22.0,Grambling St.,,HarrRi21
1,6,NYJ,John Riggins HOF,RB,22,1985,1,1,12,90,45,175,0,2,0,0,0,2916,11352,104,250,2090,12,,,Kansas,College Stats,RiggJo00
1,7,ATL,Joe Profit,RB,22,1973,0,0,0,5,2,23,0,0,0,0,0,133,471,3,14,130,0,,,La-Monroe,,ProfJo00
1,8,PIT,Frank Lewis,WR,24,1983,0,1,9,60,22,155,0,0,0,0,0,12,146,1,397,6724,40,,,Grambling St.,,LewiFr00
1,9,GNB,John Brockington,RB,22,1977,1,3,7,53,51,95,0,1,0,0,0,1347,5185,30,157,1297,4,,,Ohio St.,College Stats,BrocJo00
1,10,RAM,Isiah Robertson,LB,22,1982,2,6,11,103,81,168,0,0,0,0,0,0,0,0,0,0,0,25,24.5,Southern,,RobeIs00
1,11,CHI,Joe Moore,RB,22,1973,0,0,0,3,3,23,0,0,0,0,0,87,281,0,5,39,0,,,Missouri,College Stats,MoorJo00
1,12,DEN,Marv Montgomery,T,23,1978,0,0,3,29,20,81,0,0,0,0,0,0,0,0,0,0,0,,,USC,,MontMa20
1,13,SDG,Leon Burns,RB,28,1972,0,0,0,3,2,28,0,0,0,0,0,87,292,3,9,46,0,,,Long Beach St.,College Stats,BurnLe00
1,14,CLE,Clarence Scott,DB,22,1983,0,1,12,64,64,186,0,0,0,0,0,0,0,0,0,0,0,39,3.0,Kansas St.,,ScotCl00
1,15,CIN,Vern Holland,T,23,1980,0,0,8,53,52,131,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee St.,,HollVe20
1,16,KAN,Elmo Wright,WR,22,1975,0,0,3,13,13,51,0,0,0,0,0,10,69,1,70,1116,6,,,Houston,College Stats,WrigEl00
1,17,STL,Norm Thompson,DB,26,1979,0,0,7,40,29,115,0,0,0,0,0,0,0,0,0,0,0,33,3.0,Utah,,ThomNo21
1,18,NYG,Rocky Thompson,RB,23,1973,0,0,0,4,4,29,0,0,0,0,0,68,217,1,16,85,0,,,West Texas A&M,,ThomRo03
1,19,OAK,Jack Tatum,DB,22,1980,0,3,9,62,60,136,0,0,0,0,0,0,0,0,0,0,0,37,,Ohio St.,College Stats,TatuJa00
1,20,RAM,Jack Youngblood HOF,DE,21,1984,5,7,13,112,112,202,0,0,0,0,0,0,0,0,0,0,0,,151.5,Florida,,YounJa00
