Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,BUF,O.J. Simpson HOF,RB,22,1979,5,6,11,98,93,135,6,16,110,1,0,2404,11236,61,203,2142,14,,,USC,College Stats,SimpO.00
1,2,ATL,George Kunz,T,22,1980,1,7,9,77,35,129,0,0,0,0,0,0,0,0,1,2,0,,,Notre Dame,College Stats,KunzGe00
1,3,PHI,Leroy Keyes,DB,22,1973,0,0,3,17,16,48,1,3,14,0,0,125,369,3,30,270,0,8,,Purdue,College Stats,KeyeLe20
1,4,PIT,Joe Greene HOF,DT,22,1981,4,10,12,109,109,181,0,0,0,0,0,0,0,0,0,0,0,1,77.5,North Texas,College Stats,GreeJo02
1,5,CIN,Greg Cook,QB,22,1973,0,0,1,10,10,12,107,200,1865,15,11,25,148,1,0,0,0,,,Cincinnati,College Stats,CookGr00
1,6,BOS,Ron Sellers,WR,22,1973,0,1,4,25,17,52,0,0,0,0,0,0,0,0,112,2184,18,,,Florida St.,College Stats,SellRo00
1,7,SFO,Ted Kwalick,TE,22,1977,1,3,3,30,30,108,0,0,0,0,0,19,175,0,168,2570,23,,,Penn St.,College Stats,KwalTe00
1,8,RAM,Larry Smith,RB,22,1974,0,0,2,33,30,72,2,5,31,0,0,528,2057,11,149,1176,5,,,Florida,College Stats,SmitLa02
1,9,SDG,Marty Domres,QB,22,1977,0,0,2,19,5,90,399,809,4904,27,50,130,679,10,0,0,0,,,Columbia,College Stats,DomrMa00
1,10,RAM,Jim Seymour,WR,22,1972,0,0,1,5,,31,0,0,0,0,0,1,-9,0,21,385,5,,,Notre Dame,College Stats,SeymJi00
1,11,MIA,Bill Stanfill,DE,22,1976,1,5,7,65,65,109,0,0,0,0,0,0,0,0,0,0,0,2,69.5,Georgia,College Stats,StanBi00
1,12,GNB,Rich Moore,DT,22,1970,0,0,1,11,11,20,0,0,0,0,0,0,0,0,0,0,0,,6.0,Villanova,,MoorRi20
1,13,NYG,Fred Dryer,DE,23,1981,0,1,11,80,11,176,0,0,0,0,0,0,0,0,0,0,0,1,103.0,San Diego St.,,DryeFr00
1,14,CHI,Rufus Mayes,T,21,1979,0,0,7,53,4,139,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats,MayeRu20
1,15,HOU,Ron Pritchard,LB,22,1977,0,0,5,35,14,106,0,0,0,0,0,0,0,0,0,0,0,3,16.5,Arizona St.,,PritRo20
1,16,SFO,Gene Washington,WR,22,1979,2,4,10,71,70,140,0,1,0,0,0,6,23,0,385,6856,60,,,Stanford,College Stats,WashGe00
1,17,NOR,John Shinners,G,22,1977,0,0,2,30,6,97,0,0,0,0,0,0,0,0,0,0,0,,,Xavier (OH),,ShinJo20
1,18,SDG,Bob Babich,LB,22,1978,0,0,7,38,15,125,0,0,0,0,0,0,0,0,0,0,0,6,7.0,Miami (OH),College Stats,BabiBo20
1,19,STL,Roger Wehrli HOF,DB,21,1982,3,7,13,91,91,193,0,1,0,0,0,5,45,1,0,0,0,40,1.0,Missouri,College Stats,WehrRo00
1,20,CLE,Ron Johnson,RB,21,1975,1,2,5,61,6,81,0,2,0,0,0,1204,4308,40,213,1977,15,,,Michigan,College Stats,JohnRo02
1,21,RAM,Bob Klein,TE,22,1979,0,0,9,30,20,145,0,0,0,0,0,4,14,0,219,2687,23,,,USC,College Stats,KleiBo00
1,22,OAK,Art Thoms,DT,22,1977,0,0,5,38,37,99,0,0,0,0,0,0,0,0,0,0,0,2,30.0,Syracuse,,ThomAr21
1,23,KAN,Jim Marsalis,DB,23,1977,1,2,4,38,37,90,0,0,0,0,0,0,0,0,0,0,0,15,1.0,Tennessee St.,,MarsJi01
1,24,DAL,Calvin Hill,RB,22,1981,1,4,6,71,57,156,5,13,204,3,1,1452,6083,42,271,2861,23,,,Yale,College Stats,HillCa00
1,25,BAL,Eddie Hinton,WR,22,1974,0,0,2,23,20,67,0,0,0,0,0,12,110,2,111,1822,10,,,Oklahoma,College Stats,HintEd00
1,26,NYJ,Dave Foley,T,21,1977,0,1,7,38,7,110,0,0,0,0,0,0,0,0,0,0,0,,,Ohio St.,College Stats,FoleDa00
2,27,BUF,Bill Enyart,RB,22,1971,0,0,0,6,6,29,0,0,0,0,0,105,387,1,54,421,3,,,Oregon St.,College Stats,EnyaBi00
2,28,PHI,Ernie Calloway,DT,21,1972,0,0,3,14,14,47,0,0,0,0,0,0,0,0,0,0,0,,8.0,Texas Southern,,CallEr20
2,29,ATL,Paul Gipson,RB,23,1973,0,0,0,6,6,33,0,1,0,0,1,123,491,1,21,240,3,,,Houston,College Stats,GipsPa00
2,30,PIT,Terry Hanratty,QB,21,1976,0,0,0,8,8,50,165,431,2510,24,35,21,99,1,0,0,0,,,Notre Dame,College Stats,HanrTe00
2,31,CIN,Bill Bergey,LB,24,1980,2,5,11,87,23,159,0,0,0,0,0,0,0,0,0,0,0,27,18.5,Arkansas St.,,BergBi00
2,32,BOS,Mike Montler,C,25,1978,0,0,8,43,18,123,0,0,0,0,0,0,0,0,1,6,0,,,Colorado,College Stats,MontMi21
2,33,BAL,Ted Hendricks HOF,LB,21,1983,4,8,14,112,43,215,0,0,0,0,0,0,0,0,0,0,0,26,61.0,Miami (FL),College Stats,HendTe00
2,34,DET,Altie Taylor,RB,21,1976,0,0,6,59,59,102,0,0,0,0,0,1170,4308,24,175,1538,6,,,Utah St.,College Stats,TaylAl00
2,35,STL,Rolf Krueger,DE,22,1974,0,0,2,19,14,69,0,0,0,0,0,0,0,0,0,0,0,,6.5,Texas A&M,,KrueRo20
2,36,DEN,Grady Cavness,DB,22,1970,0,0,1,7,5,18,0,0,0,0,0,0,0,0,0,0,0,2,,Texas-El Paso,,CavnGr20
2,37,MIA,Bob Heinz,DT,22,1978,0,0,4,32,31,111,0,0,0,0,0,0,0,0,0,0,0,,9.0,Pacific,,HeinBo21
2,38,GNB,Dave Bradley,G,22,1972,0,0,0,6,6,16,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,,BradDa22
2,39,MIN,Ed White,G,22,1985,0,4,15,87,35,241,0,0,0,0,0,0,0,0,0,3,0,,,California,College Stats,WhitEd00
2,40,HOU,Jerry LeVias,WR,23,1974,0,1,2,19,11,70,0,3,0,0,1,19,161,0,144,2139,14,,,SMU,College Stats,LeViJe00
2,41,CHI,Bobby Douglass,QB,22,1978,0,0,4,37,32,91,507,1178,6493,36,64,410,2654,22,1,-2,0,,,Kansas,College Stats,DougBo00
2,42,PIT,Warren Bankston,RB,22,1978,0,0,0,8,7,114,0,0,0,0,0,167,684,3,38,283,2,,,Tulane,College Stats,BankWa00
2,43,MIN,Volly Murphy,FL,,,0,0,0,,,,,,,,,,,,,,,,,Texas-El Paso,College Stats,-9999
2,44,SDG,Ron Sayers,RB,22,1969,0,0,0,0,0,8,0,0,0,0,0,14,53,0,0,0,0,,,Nebraska-Omaha,,SayeRo00
2,45,NOR,Richard Neal,DE,21,1978,0,0,6,35,15,120,0,0,0,0,0,0,0,0,0,0,0,,38.0,Southern,,NealRi20
2,46,WAS,Eugene Epps,DB,,,0,0,0,,,,,,,,,,,,,,,,,Texas-El Paso,,-9999
2,47,DET,Jim Yarbrough,T,22,1977,0,0,6,39,39,112,0,0,0,0,0,0,0,0,0,0,0,,,Florida,College Stats,YarbJi21
2,48,KAN,Ed Podolak,RB,22,1977,0,0,6,53,53,104,4,6,82,0,1,1157,4451,34,288,2456,6,,,Iowa,College Stats,PodoEd00
2,49,DAL,Richmond Flowers,DB,22,1973,0,0,1,15,7,55,0,0,0,0,0,0,0,0,0,0,0,6,,Tennessee,College Stats,FlowRi20
2,50,OAK,George Buehler,G,22,1979,0,0,7,52,49,137,0,0,0,0,0,0,0,0,0,0,0,,,Stanford,College Stats,BuehGe20
2,51,BAL,Tommy Maxwell,DB,22,1974,0,0,2,20,10,68,0,0,0,0,0,0,0,0,0,0,0,5,,Texas A&M,College Stats,MaxwTo20
2,52,NYJ,Al Woodall,QB,23,1974,0,0,2,13,13,31,246,503,2970,18,23,60,214,0,0,0,0,,,Duke,College Stats,WoodAl00
