Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,DAL,Too Tall Jones,DE,23,1989,1,3,14,94,94,224,0,0,0,0,0,0,0,0,0,0,0,3,106.0,Tennessee St.,,JoneEd00
1,2,SDG,Bo Matthews,RB,22,1981,0,0,3,13,12,101,0,0,0,0,0,424,1566,11,75,488,0,,,Colorado,College Stats,MattBo00
1,3,NYG,John Hicks,G,23,1977,0,0,4,20,20,52,0,0,0,0,0,0,0,0,1,5,0,,,Ohio St.,College Stats,HickJo20
1,4,CHI,Waymond Bryant,LB,22,1977,0,0,4,25,25,53,0,0,0,0,0,0,0,0,0,0,0,4,7.5,Tennessee St.,,BryaWa22
1,5,BAL,John Dutton,DT,23,1987,1,3,11,72,36,185,0,0,0,0,0,0,0,0,0,0,0,1,73.0,Nebraska,College Stats,DuttJo00
1,6,NYJ,Carl Barzilauskas,DT,23,1979,0,0,5,24,16,70,0,0,0,0,0,0,0,0,0,0,0,1,16.5,Indiana,,BarzCa20
1,7,STL,J.V. Cain,TE,23,1977,0,0,2,12,12,55,0,0,0,0,0,0,0,0,76,1014,9,,,Colorado,College Stats,CainJ.00
1,8,DET,Ed O'Neil,LB,21,1980,0,0,4,32,28,100,0,0,0,0,0,2,25,0,1,32,1,5,6.0,Penn St.,,ONeiEd20
1,9,SFO,Wilbur Jackson,RB,22,1982,0,0,5,40,34,94,0,0,0,0,0,971,3852,13,183,1572,4,,,Alabama,College Stats,JackWi01
1,10,SFO,Bill Sandifer,DT,22,1978,0,0,2,13,10,46,0,0,0,0,0,0,0,0,0,0,0,,2.0,UCLA,,SandBi21
1,11,RAM,John Cappelletti,RB,22,1983,0,0,5,34,27,105,0,0,0,0,0,824,2951,24,135,1233,4,,,Penn St.,College Stats,CappJo00
1,12,GNB,Barty Smith,RB,22,1980,0,0,2,20,20,67,0,0,0,0,0,544,1942,18,120,979,3,,,Richmond,College Stats,SmitBa00
1,13,NOR,Rick Middleton,LB,22,1978,0,0,1,16,9,64,0,0,0,0,0,0,0,0,0,0,0,2,1.5,Ohio St.,College Stats,MiddRi20
1,14,DEN,Randy Gradishar HOF,LB,22,1983,2,7,9,88,88,145,0,0,0,0,0,0,0,0,0,0,0,20,19.5,Ohio St.,College Stats,GradRa00
1,15,SDG,Don Goode,LB,23,1981,0,0,6,35,27,112,0,0,0,0,0,0,0,0,0,0,0,10,9.0,Kansas,,GoodDo20
1,16,KAN,Woody Green,RB,23,1976,0,0,3,16,16,28,0,0,0,0,0,375,1442,9,58,562,2,,,Arizona St.,College Stats,GreeWo00
1,17,MIN,Fred McNeill,LB,22,1985,0,0,8,54,54,167,0,0,0,0,0,0,0,0,0,0,0,7,15.0,UCLA,,McNeFr21
1,18,BUF,Reuben Gant,TE,22,1980,0,0,3,16,16,101,0,0,0,0,0,1,14,0,127,1850,15,,,Oklahoma St.,College Stats,GantRe00
1,19,OAK,Henry Lawrence,T,22,1986,0,2,10,65,65,187,0,0,0,0,0,0,0,0,0,0,0,,,Florida A&M,,LawrHe00
1,20,CHI,Dave Gallagher,DE,22,1979,0,0,4,19,6,51,0,0,0,0,0,0,0,0,0,0,0,1,4.5,Michigan,College Stats,GallDa20
1,21,PIT,Lynn Swann HOF,WR,22,1982,1,3,8,62,62,116,0,0,0,0,0,11,72,1,336,5462,51,,,USC,College Stats,SwanLy00
1,22,DAL,Charley Young,RB,21,1976,0,0,0,10,10,37,0,0,0,0,0,131,638,2,40,391,2,,,North Carolina St.,College Stats,YounCh01
