Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
1,1,WAS,Ernie Davis,B,,,0,0,0,,,,,,,,,,,,,,,,,Syracuse,College Stats,-9999
1,2,RAM,Roman Gabriel,QB,22,1977,1,4,11,98,75,183,2366,4498,29444,201,149,358,1304,30,1,-5,0,,,North Carolina St.,College Stats,GabrRo00
1,3,RAM,Merlin Olsen HOF,DT,21,1976,5,14,15,116,116,208,0,0,0,0,0,0,0,0,0,0,0,1,91.0,Utah St.,College Stats,OlseMe00
1,4,CLE,Gary Collins,FL,22,1971,1,2,8,74,74,127,0,0,0,0,0,4,60,0,331,5299,70,,,Maryland,College Stats,CollGa00
1,5,PIT,Bob Ferguson,FB,23,1963,0,0,0,1,1,20,0,0,0,0,0,66,209,1,4,13,0,,,Ohio St.,College Stats,FergBo00
1,6,STL,Fate Echols,T,23,1963,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,,0.5,Northwestern,,EchoFa20
1,7,CHI,Ronnie Bull,RB,22,1971,0,0,8,36,34,123,7,20,158,1,1,881,3222,9,172,1479,5,,,Baylor,College Stats,BullRo00
1,8,SFO,Lance Alworth HOF,FL,22,1972,6,7,10,98,,136,1,2,-11,0,0,24,129,2,542,10266,85,,,Arkansas,College Stats,AlwoLa00
1,9,BAL,Wendell Harris,DB,21,1967,0,0,4,24,19,83,0,0,0,0,0,0,0,0,0,0,0,8,1.5,LSU,College Stats,HarrWe20
1,10,DET,John Hadl,QB,22,1977,1,6,12,106,,224,2363,4687,33503,244,268,351,1112,16,3,-9,0,,,Kansas,College Stats,HadlJo00
1,11,CLE,Leroy Jackson,HB,22,1963,0,0,0,4,,15,0,0,0,0,0,52,142,0,10,253,1,,,Western Illinois,,JackLe01
1,12,STL,Irv Goode,G,21,1974,0,2,10,58,55,162,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,,GoodIr00
1,13,NYG,Jerry Hillebrand,LB,22,1970,0,0,2,27,14,99,0,0,0,0,0,0,0,0,1,27,0,14,5.0,Colorado,College Stats,HillJe21
1,14,GNB,Earl Gros,FB,22,1970,0,0,5,35,3,108,1,4,63,1,0,821,3157,28,142,1255,10,,,LSU,College Stats,GrosEa00
2,15,WAS,Joe Hernandez,WR,22,1964,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,18,0,,,Arizona,College Stats,HernJo00
2,16,RAM,Joe Carollo,T,22,1973,0,1,8,49,39,150,0,0,0,0,0,0,0,0,0,0,0,,,Notre Dame,,CaroJo00
2,17,CLE,Chuck Hinton,DT,23,1972,0,0,8,42,,123,0,0,0,0,0,0,0,0,0,0,0,2,29.0,North Carolina Central,,HintCh20
2,18,DAL,Sonny Gibbs,QB,22,1964,0,0,0,0,,2,1,3,3,0,1,0,0,0,0,0,0,,,TCU,College Stats,GibbSo00
2,19,STL,Bobby Jackson,FB,22,1965,0,0,1,9,,50,0,0,0,0,0,184,624,14,32,333,2,,,New Mexico St.,College Stats,JackBo01
2,20,CHI,Clyde Brock,T,22,1963,0,0,0,8,,24,0,0,0,0,0,0,0,0,0,0,0,,,Utah St.,College Stats,BrocCl20
2,21,CHI,Bennie McRae,DB,22,1971,0,0,8,52,51,133,0,0,0,0,0,0,0,0,0,0,0,27,1.0,Michigan,College Stats,McRaBe20
2,22,SFO,Ed Pine,LB,22,1965,0,0,2,17,14,50,0,0,0,0,0,0,0,0,0,0,0,3,3.5,Utah,,PineEd20
2,23,BAL,Bill Saul,LB,21,1970,0,0,3,29,4,88,0,0,0,0,0,0,0,0,0,0,0,4,7.0,Penn St.,,SaulBi20
2,24,DET,Eddie Wilson,QB,22,1965,0,0,0,3,,56,90,186,1251,5,6,23,59,1,0,0,0,,,Arizona,College Stats,WilsEd00
2,25,CLE,Sandy Stephens,B,,,0,0,0,,,,,,,,,,,,,,,,,Minnesota,College Stats,-9999
2,26,NYG,Bob Bill,T,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,,-9999
2,27,PHI,Pete Case,G,21,1970,0,0,6,41,9,117,0,0,0,0,0,0,16,0,0,0,0,,,Georgia,,CasePe20
2,28,GNB,Ed Blaine,G,22,1966,0,0,4,26,3,70,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,College Stats,BlaiEd20
3,29,WAS,Bob Mitinger,LB,22,1968,0,0,0,12,,42,0,0,0,0,0,0,0,0,0,0,0,3,3.0,Penn St.,College Stats,MitiBo20
3,30,MIN,Bill Miller,SE,22,1968,0,0,3,21,,66,0,0,0,0,0,0,0,0,141,1879,10,,,Miami (FL),College Stats,MillBi01
