Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
2,40,NYG,Brad Van Pelt,LB,22,1986,0,5,12,73,66,184,0,0,0,0,0,0,0,0,1,20,0,20,24.5,Michigan St.,College Stats,VanPBr01
2,41,SFO,Willie Harper,LB,23,1983,0,0,7,43,43,134,0,0,0,0,0,0,0,0,0,0,0,3,11.5,Nebraska,College Stats,HarpWi20
2,42,RAM,Jim Youngblood,LB,23,1984,0,1,7,58,58,156,0,0,0,0,0,0,0,0,0,0,0,14,15.5,Tennessee Tech,,YounJi01
2,43,CIN,Al Chandler,TE,22,1979,0,0,1,3,0,85,0,0,0,0,0,0,0,0,35,367,9,,,Oklahoma,College Stats,ChanAl00
2,44,DET,Leon Crosswhite,RB,22,1974,0,0,0,1,1,21,0,0,0,0,0,23,79,2,4,35,0,,,Oklahoma,College Stats,CrosLe00
2,45,STL,Gary Keithley,QB,22,1973,0,0,0,3,3,14,32,73,369,1,5,8,29,0,0,0,0,,,Texas-El Paso,College Stats,KeitGa00
2,46,DAL,Golden Richards,WR,22,1979,0,0,5,23,18,86,0,0,0,0,0,5,15,0,122,2136,17,,,BYU,,RichGo00
2,47,CLE,Jim Stienke,DB,22,1978,0,0,3,22,3,66,0,0,0,0,0,0,0,0,0,0,0,4,1.0,Texas St.,,StieJi20
2,48,CHI,Gary Hrivnak,DE,22,1975,0,0,1,9,9,41,0,0,0,0,0,0,0,0,0,0,0,,4.0,Purdue,College Stats,HrivGa20
2,49,OAK,Monte Johnson,LB,21,1979,0,0,5,39,39,99,0,0,0,0,0,0,0,0,0,0,0,10,7.0,Nebraska,,JohnMo20
2,50,PIT,Ken Phares,DB,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi St.,,-9999
2,51,NOR,Steve Baumgartner,DE,22,1979,0,0,2,25,18,95,0,0,0,0,0,0,0,0,0,0,0,,5.5,Purdue,,BaumSt20
2,52,MIA,Chuck Bradley,TE,22,1977,0,0,0,0,,19,0,0,0,0,0,0,0,0,2,49,0,,,Oregon,College Stats,BradCh00
3,53,DAL,Harvey Martin,DE,22,1983,1,4,9,82,82,158,0,0,0,0,0,0,0,0,0,0,0,2,114.0,Texas A&M-Commerce,,MartHa00
3,54,DEN,Paul Howard,G,22,1986,0,0,10,56,56,187,0,0,0,0,0,0,0,0,0,0,0,,,BYU,,HowaPa20
3,55,PHI,Randy Logan,DB,22,1983,0,0,11,64,64,159,0,0,0,0,0,0,0,0,0,0,0,23,3.0,Michigan,College Stats,LogaRa20
3,56,NWE,Brad Dusek,LB,22,1981,0,0,7,48,,114,0,0,0,0,0,0,0,0,0,0,0,4,14.0,Texas A&M,College Stats,DuseBr20
3,57,BUF,Joe Ferguson,QB,23,1990,0,0,11,81,78,186,2369,4519,29817,196,209,353,1217,11,2,-9,0,,,Arkansas,College Stats,FergJo00
3,58,DET,John Brady,TE,,,0,0,0,,,,,,,,,,,,,,,,,Washington,College Stats,-9999
3,59,STL,Fred Sturt,G,22,1981,0,0,3,28,,95,0,0,0,0,0,0,0,0,0,0,0,,,Bowling Green,,SturFr20
3,60,RAM,Tim Stokes,T,23,1982,0,0,4,28,1,105,0,0,0,0,0,0,0,0,0,0,0,,,Oregon,,StokTi20
3,61,BAL,Bill Olds,RB,22,1976,0,0,2,12,11,52,0,0,0,0,0,287,985,6,62,372,4,,,Nebraska,College Stats,OldsBi00
3,62,BAL,Jamie Rotella,LB,,,0,0,0,,,,,,,,,,,,,,,,,Tennessee,,-9999
3,63,STL,Terry Metcalf,RB,21,1981,0,3,5,57,52,81,4,10,78,2,1,766,3498,24,245,2457,9,,,Long Beach St.,College Stats,MetcTe00
3,64,SDG,Dan Fouts HOF,QB,22,1987,2,6,14,123,123,181,3297,5604,43040,254,242,224,476,13,1,0,0,,,Oregon,College Stats,FoutDa00
3,65,MIN,Jim Lash,WR,21,1977,0,0,3,18,17,60,0,1,0,0,0,3,5,0,91,1464,3,,,Northwestern,College Stats,LashJi00
3,66,NOR,Pete Van Valkenberg,RB,23,1974,0,0,0,0,,24,0,0,0,0,0,2,20,0,1,7,0,,,BYU,,VanVPe00
3,67,CLE,Bob Crum,DE,22,1974,0,0,0,3,,14,0,0,0,0,0,0,0,0,0,0,0,,,Arizona,,CrumBo20
3,68,CIN,Tim George,WR,21,1974,0,0,1,0,0,20,0,0,0,0,0,0,0,0,2,28,0,,,Carson-Newman,,GeorTi00
