coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
tom landry,1960,1988,29,418,250,162,6,0.605,88,20,16,0.556,2.4,1,2,2,5
jimmy johnson,1989,1993,5,80,44,36,0,0.550,8,7,1,0.875,2.6,1,2,2,2
barry switzer,1994,1997,4,64,40,24,0,0.625,16,5,2,0.714,1.8,1,1,1,1
chan gailey,1998,1999,2,32,18,14,0,0.563,4,0,2,0.000,1.5,1,0,0,0
dave campo,2000,2002,3,48,15,33,0,0.313,-18,0,0,0.000,4.3,4,0,0,0
bill parcells,2003,2006,4,64,34,30,0,0.531,4,0,2,0.000,2.5,2,0,0,0
wade phillips,2007,2010,4,56,34,22,0,0.607,12,1,2,0.333,2.0,1,0,0,0
jason garrett,2010,2019,10,152,85,67,0,0.559,18,2,3,0.400,2.2,1,0,0,0
mike mccarthy,2020,2024,5,84,59,35,0,0.702,14,1,3,0.250,2.0,1,0,0,0
