coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
norm van brocklin,1961,1966,6,84,29,51,4,0.369,-22,0,0,0.000,5.0,2,0,0,0
bud grant,1967,1985,18,259,158,96,5,0.620,62,10,12,0.455,1.9,1,0,0,4
jerry burns,1986,1991,6,95,52,43,0,0.547,9,3,3,0.500,2.5,1,0,0,0
dennis green,1992,2001,10,159,97,62,0,0.610,35,4,8,0.333,2.2,1,0,0,0
mike tice,2001,2005,5,65,32,33,0,0.492,-1,1,1,0.500,2.4,2,0,0,0
brad childress,2006,2010,5,74,39,35,0,0.527,4,1,2,0.333,2.2,1,0,0,0
leslie frazier,2010,2013,4,54,21,32,1,0.398,-11,0,1,0.000,3.5,2,0,0,0
mike zimmer,2014,2021,8,129,72,56,1,0.562,16,2,3,0.400,2.1,1,0,0,0
kevin oconnell,2022,2025,4,68,43,25,0,0.632,18,0,2,0.000,2.3,1,0,0,0
