coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
dom capers,1995,1998,4,64,30,34,0,0.469,-4,1,1,0.500,2.8,1,0,0,0
george seifert,1999,2001,3,48,16,32,0,0.333,-16,0,0,0.000,3.3,2,0,0,0
john fox,2002,2010,9,144,73,71,0,0.507,2,5,3,0.625,2.4,1,0,0,1
ron rivera,2011,2019,9,140,76,63,1,0.546,13,3,4,0.429,2.3,1,0,0,1
matt rhule,2020,2022,3,38,11,27,0,0.289,-16,0,0,0.000,3.0,2,0,0,0
dave canales,2024,2025,2,34,13,21,0,0.382,-8,0,1,0.000,2.0,1,0,0,0
